iter	Passed	Remaining
0	0	90
1	1	85
2	2	81
3	3	77
4	4	76
5	4	74
6	5	73
7	6	72
8	7	71
9	7	70
10	8	69
11	9	68
12	10	67
13	10	66
14	11	66
15	12	64
16	13	63
17	13	62
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	25	51
33	26	50
34	26	49
35	27	48
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	31	44
42	32	43
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	67	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
