iter	Passed	Remaining
0	147	147394
1	148	74153
2	149	49711
3	150	37470
4	151	30088
5	151	25162
6	152	21631
7	153	18999
8	153	16935
9	154	15283
10	154	13928
11	155	12805
12	156	11851
13	156	11033
14	157	10359
15	158	9739
16	158	9191
17	159	8703
18	160	8266
19	160	7874
20	161	7520
21	161	7197
22	162	6902
23	163	6630
24	163	6381
25	164	6151
26	164	5938
27	165	5740
28	165	5556
29	166	5383
30	167	5222
31	167	5071
32	168	4929
33	168	4795
34	169	4668
35	169	4548
36	170	4436
37	171	4329
38	171	4227
39	172	4131
40	172	4042
41	173	3957
42	174	3878
43	175	3802
44	175	3728
45	176	3657
46	176	3588
47	177	3522
48	178	3460
49	178	3400
50	179	3346
51	180	3291
52	181	3237
53	181	3185
54	182	3135
55	183	3087
56	183	3040
57	184	2995
58	185	2951
59	185	2909
60	186	2868
61	186	2828
62	187	2789
63	188	2753
64	188	2717
65	189	2681
66	190	2646
67	190	2612
68	191	2579
69	191	2548
70	192	2518
71	193	2488
72	193	2460
73	194	2431
74	194	2403
75	195	2376
76	196	2349
77	196	2323
78	197	2297
79	197	2273
80	198	2250
81	199	2228
82	199	2203
83	200	2181
84	200	2159
85	201	2138
86	201	2117
87	202	2096
88	202	2076
89	203	2057
90	204	2040
91	204	2022
92	205	2004
93	206	1986
94	206	1969
95	207	1952
96	207	1934
97	208	1918
98	209	1902
99	209	1886
100	210	1873
101	211	1858
102	211	1843
103	212	1828
104	212	1814
105	213	1800
106	214	1786
107	214	1773
108	215	1759
109	215	1746
110	216	1734
111	217	1722
112	217	1710
113	218	1698
114	219	1686
115	219	1674
116	220	1661
117	220	1650
118	221	1638
119	221	1627
120	222	1616
121	223	1606
122	223	1595
123	224	1585
124	225	1576
125	225	1566
126	226	1555
127	226	1545
128	227	1535
129	227	1525
130	228	1516
131	229	1508
132	229	1499
133	230	1490
134	231	1482
135	231	1473
136	232	1464
137	233	1455
138	233	1446
139	234	1438
140	234	1430
141	235	1421
142	235	1413
143	236	1405
144	237	1397
145	237	1390
146	238	1382
147	238	1374
148	239	1367
149	239	1359
150	240	1352
151	241	1346
152	242	1339
153	242	1332
154	243	1326
155	243	1319
156	244	1312
157	245	1305
158	245	1299
159	246	1292
160	246	1285
161	247	1278
162	247	1273
163	248	1266
164	249	1260
165	249	1255
166	250	1249
167	250	1242
168	251	1236
169	252	1230
170	252	1225
171	253	1220
172	254	1214
173	254	1209
